genre,year,count
Action,1926,2
Action,1927,1
Action,1931,1
Action,1933,2
Action,1935,1
Action,1937,1
Action,1938,2
Action,1939,2
Action,1940,3
Action,1942,2
Action,1943,3
Action,1944,1
Action,1945,1
Action,1948,2
Action,1949,2
Action,1950,1
Action,1951,3
Action,1952,3
Action,1953,2
Action,1954,4
Action,1955,4
Action,1956,5
Action,1958,5
Action,1959,3
Action,1960,3
Action,1961,3
Action,1962,7
Action,1963,3
Action,1964,1
Action,1965,3
Action,1966,3
Action,1967,1
Action,1968,5
Action,1969,5
Action,1970,3
Action,1971,9
Action,1972,8
Action,1973,10
Action,1974,9
Action,1975,6
Action,1976,7
Action,1977,10
Action,1978,8
Action,1979,8
Action,1980,19
Action,1981,12
Action,1982,13
Action,1983,9
Action,1984,19
Action,1985,22
Action,1986,26
Action,1987,32
Action,1988,34
Action,1989,41
Action,1990,17
Action,1991,15
Action,1992,20
Action,1993,33
Action,1994,45
Action,1995,59
Action,1996,50
Action,1997,60
Action,1998,45
Action,1999,34
Action,2000,48
Action,2001,57
Action,2002,6
Adventure,1919,2
Adventure,1925,2
Adventure,1926,2
Adventure,1933,2
Adventure,1935,1
Adventure,1937,2
Adventure,1938,1
Adventure,1939,4
Adventure,1940,2
Adventure,1941,1
Adventure,1943,2
Adventure,1947,1
Adventure,1948,1
Adventure,1949,1
Adventure,1950,1
Adventure,1951,4
Adventure,1952,3
Adventure,1953,2
Adventure,1954,4
Adventure,1955,1
Adventure,1956,7
Adventure,1957,2
Adventure,1958,2
Adventure,1959,3
Adventure,1960,5
Adventure,1961,3
Adventure,1962,6
Adventure,1963,7
Adventure,1964,3
Adventure,1965,2
Adventure,1966,3
Adventure,1967,4
Adventure,1968,3
Adventure,1969,4
Adventure,1970,5
Adventure,1971,5
Adventure,1972,6
Adventure,1973,5
Adventure,1974,6
Adventure,1975,5
Adventure,1976,6
Adventure,1977,8
Adventure,1978,6
Adventure,1979,6
Adventure,1980,9
Adventure,1981,12
Adventure,1982,6
Adventure,1983,7
Adventure,1984,12
Adventure,1985,21
Adventure,1986,19
Adventure,1987,19
Adventure,1988,18
Adventure,1989,28
Adventure,1990,17
Adventure,1991,15
Adventure,1992,10
Adventure,1993,18
Adventure,1994,22
Adventure,1995,34
Adventure,1996,29
Adventure,1997,36
Adventure,1998,32
Adventure,1999,18
Adventure,2000,25
Adventure,2001,26
Adventure,2002,4
Animation,1928,1
Animation,1937,1
Animation,1939,1
Animation,1940,2
Animation,1941,1
Animation,1942,2
Animation,1944,1
Animation,1946,1
Animation,1947,1
Animation,1948,2
Animation,1949,1
Animation,1950,1
Animation,1951,1
Animation,1953,1
Animation,1955,1
Animation,1959,1
Animation,1961,1
Animation,1963,1
Animation,1967,1
Animation,1968,2
Animation,1970,1
Animation,1971,1
Animation,1972,1
Animation,1973,3
Animation,1974,1
Animation,1977,2
Animation,1978,2
Animation,1981,3
Animation,1982,3
Animation,1983,1
Animation,1985,1
Animation,1986,3
Animation,1987,2
Animation,1988,4
Animation,1989,4
Animation,1990,2
Animation,1991,2
Animation,1992,1
Animation,1993,5
Animation,1994,6
Animation,1995,9
Animation,1996,7
Animation,1997,5
Animation,1998,11
Animation,1999,10
Animation,2000,11
Animation,2001,12
Animation,2002,1
Comedy,1918,1
Comedy,1919,1
Comedy,1920,1
Comedy,1921,1
Comedy,1923,1
Comedy,1925,3
Comedy,1926,2
Comedy,1927,1
Comedy,1928,2
Comedy,1930,1
Comedy,1931,2
Comedy,1932,1
Comedy,1933,1
Comedy,1934,5
Comedy,1935,1
Comedy,1936,2
Comedy,1937,3
Comedy,1938,2
Comedy,1939,4
Comedy,1940,5
Comedy,1941,4
Comedy,1942,3
Comedy,1943,1
Comedy,1944,3
Comedy,1945,1
Comedy,1946,1
Comedy,1947,3
Comedy,1948,2
Comedy,1949,2
Comedy,1950,3
Comedy,1951,2
Comedy,1952,4
Comedy,1953,7
Comedy,1954,3
Comedy,1955,6
Comedy,1956,1
Comedy,1957,7
Comedy,1958,6
Comedy,1959,4
Comedy,1960,6
Comedy,1961,6
Comedy,1962,5
Comedy,1963,12
Comedy,1964,9
Comedy,1965,9
Comedy,1966,6
Comedy,1967,13
Comedy,1968,7
Comedy,1969,4
Comedy,1970,7
Comedy,1971,12
Comedy,1972,11
Comedy,1973,8
Comedy,1974,12
Comedy,1975,10
Comedy,1976,6
Comedy,1977,9
Comedy,1978,12
Comedy,1979,12
Comedy,1980,29
Comedy,1981,18
Comedy,1982,22
Comedy,1983,22
Comedy,1984,28
Comedy,1985,37
Comedy,1986,46
Comedy,1987,65
Comedy,1988,79
Comedy,1989,87
Comedy,1990,30
Comedy,1991,36
Comedy,1992,41
Comedy,1993,60
Comedy,1994,105
Comedy,1995,110
Comedy,1996,146
Comedy,1997,114
Comedy,1998,137
Comedy,1999,127
Comedy,2000,129
Comedy,2001,103
Comedy,2002,8
Comedy,2011,1
Comedy,2012,1
Comedy,2013,1
Crime,1922,1
Crime,1926,1
Crime,1927,1
Crime,1929,1
Crime,1930,1
Crime,1931,1
Crime,1932,1
Crime,1934,1
Crime,1937,1
Crime,1939,2
Crime,1941,1
Crime,1943,1
Crime,1944,3
Crime,1945,3
Crime,1946,2
Crime,1947,4
Crime,1948,4
Crime,1950,1
Crime,1951,2
Crime,1953,5
Crime,1954,4
Crime,1955,5
Crime,1956,4
Crime,1957,1
Crime,1958,3
Crime,1959,1
Crime,1960,3
Crime,1961,1
Crime,1962,1
Crime,1963,2
Crime,1964,3
Crime,1965,1
Crime,1966,1
Crime,1967,3
Crime,1968,2
Crime,1969,3
Crime,1971,8
Crime,1972,7
Crime,1973,9
Crime,1974,10
Crime,1975,4
Crime,1976,5
Crime,1977,2
Crime,1978,5
Crime,1979,1
Crime,1980,9
Crime,1981,8
Crime,1982,3
Crime,1983,4
Crime,1984,9
Crime,1985,11
Crime,1986,21
Crime,1987,22
Crime,1988,30
Crime,1989,29
Crime,1990,13
Crime,1991,8
Crime,1992,17
